freq	S11	S22	Stability	Gain	Noise
2.09	-4.20717926606928840E0	-6.20851824033149760E0	1.15945174844531620E0	1.39743339992906980E1	8.63899775839105110E-1
2.1	-4.36039557460577050E0	-6.38150736120736360E0	1.16970980859006660E0	1.40065660355242080E1	8.56396189691336930E-1
2.11	-4.52050383722719220E0	-6.56293401344179110E0	1.17984923736195340E0	1.40380851683635850E1	8.48758731366279660E-1
2.12	-4.68792912881488370E0	-6.75321006296010930E0	1.18987939761010630E0	1.40687954046012710E1	8.41013669401076850E-1
2.13	-4.86307122371908120E0	-6.95273354107076540E0	1.19980980300488890E0	1.40985614458975550E1	8.33190238022805830E-1
2.14	-5.04622166161928920E0	-7.16204518214957810E0	1.20961438137527110E0	1.41273810986054580E1	8.25211239160516820E-1
2.15	-5.23821509457819000E0	-7.38153124341937430E0	1.21936541218002040E0	1.41549634612822770E1	8.17287033585336790E-1
2.16	-5.43873243775510410E0	-7.61187573446656710E0	1.22893651276364220E0	1.41815366552798470E1	8.09055594171844030E-1
2.17	-5.65019457535799850E0	-7.85359195447192700E0	1.23859389202685290E0	1.42064206308302570E1	8.01270565406959530E-1
2.18	-5.86888113193525030E0	-8.10702092376369170E0	1.24781231121352530E0	1.42305474885850130E1	7.92470056978097580E-1
2.19	-6.10371890291881590E0	-8.37393309570871660E0	1.25754126373318130E0	1.42520904595443710E1	7.85275323631525520E-1
2.2	-6.34029989057295750E0	-8.65266411523223410E0	1.26615715307537190E0	1.42739362065943330E1	7.75229681541310090E-1
2.21	-6.59573703647948580E0	-8.94311502092930690E0	1.27578501321995460E0	1.42907074837637580E1	7.68329389682917620E-1
2.22	-6.86029992197026140E0	-9.25417251006945920E0	1.28431944732202140E0	1.43099688848927250E1	7.58359363472410660E-1
2.23	-7.14010244160576060E0	-9.57755935122409950E0	1.29334744709280550E0	1.43248371454878300E1	7.50126889149501520E-1
2.24	-7.43269403077466250E0	-9.91943974363430140E0	1.30196632723869990E0	1.43390517819106540E1	7.40919359888326220E-1
2.25	-7.74104595429644160E0	-1.02782506530720540E1	1.31067437508495700E0	1.43505024375510510E1	7.32225731302521690E-1
2.26	-8.06496780134974680E0	-1.06565167934951250E1	1.31921337902302520E0	1.43601506565856090E1	7.23286937435717900E-1
2.27	-8.40617345331989800E0	-1.10549439294778520E1	1.32771294007169160E0	1.43674186034693000E1	7.14488271942665420E-1
2.28	-8.76552280255022960E0	-1.14754055849212570E1	1.33610235146733510E0	1.43725263610097990E1	7.05628149518412240E-1
2.29	-9.14444273109493540E0	-1.19193866844464340E1	1.34441146560694810E0	1.43752907273239020E1	6.96800447141593440E-1
2.3	-9.54441069063156530E0	-1.23888555594006090E1	1.35263353602204740E0	1.43756939917622020E1	6.87991275688661470E-1
2.31	-9.96696002776894470E0	-1.28859592398946380E1	1.36076051553824430E0	1.43737134167842220E1	6.79184997075213650E-1
2.32	-1.04140754278369290E1	-1.34130649739185110E1	1.36881221477904820E0	1.43692371571055940E1	6.70445488848832480E-1
2.33	-1.08876111640150430E1	-1.39731093319092370E1	1.37676238781405050E0	1.43623294742640950E1	6.61705940122274680E-1
2.34	-1.13900819527669840E1	-1.45691413574870080E1	1.38464314035525330E0	1.43528397963847730E1	6.53066457363723350E-1
2.35	-1.19238593284112240E1	-1.52051879669327180E1	1.39242050990675950E0	1.43408799778456330E1	6.44438490887903550E-1
2.36	-1.24920753968715430E1	-1.58853679774596260E1	1.40013312599066130E0	1.43262847279540420E1	6.35941346032236150E-1
2.37	-1.30977268815935170E1	-1.66152503251585170E1	1.40774197242320740E0	1.43092007259657940E1	6.27473519683560800E-1
2.38	-1.37445806553387500E1	-1.74005658202147510E1	1.41528895594299000E0	1.42894617638916670E1	6.19164329577861850E-1
2.39	-1.44362099938525870E1	-1.82491225514875180E1	1.42273267874871200E0	1.42672381504180310E1	6.10906496758732050E-1
2.4	-1.51766885802777840E1	-1.91689886780935950E1	1.43011669749131000E0	1.42423711091116820E1	6.02834390651649520E-1
2.41	-1.59692671740551310E1	-2.01708474158876470E1	1.43739842035612230E0	1.42150458979016730E1	5.94838799626843870E-1
2.42	-1.68164525243378300E1	-2.12652428780535450E1	1.44462270319542490E0	1.41851131162564450E1	5.87057962894210220E-1
2.43	-1.77173176767579530E1	-2.24643329970221340E1	1.45174949001834050E0	1.41527564446750740E1	5.79391358441186100E-1
2.44	-1.86653103264298960E1	-2.37758795320642990E1	1.45881311918057040E0	1.41178807889874140E1	5.71947912289862080E-1
2.45	-1.96414302612034540E1	-2.51970160455998120E1	1.46578681905476340E0	1.40806250335532050E1	5.64665870446859230E-1
2.46	-2.06060739408063800E1	-2.66905582187887090E1	1.47269381358591240E0	1.40409475830914100E1	5.57623313336853420E-1
2.47	-2.14862310651988550E1	-2.81409464165737510E1	1.47951698694938140E0	1.39989563237024140E1	5.50786827931624860E-1
2.48	-2.21718818950740240E1	-2.92932135691333340E1	1.48627102411499680E0	1.39546493988390300E1	5.44211290606343120E-1
2.49	-2.25365917659037640E1	-2.97932977643982830E1	1.49294635273394220E0	1.39081113548771550E1	5.37885341773360710E-1
2.5	-2.24991936536207680E1	-2.94758195216008860E1	1.49955084687345130E0	1.38593694596247750E1	5.31845720790037290E-1
2.51	-2.20781194249374300E1	-2.85606410746192200E1	1.50608102340742200E0	1.38084896731260250E1	5.26098800247237100E-1
